"","CALYCOSA","BREVIPETALA","HIRSUTICAULIS","GRAYANA","RICHARDSONII","CAROLINIANA","HETERADENIA","AMERICANA","PUBESCENS","HISPIDA","ALBA","LONGIFLORA","ACEROIDES"
"CALYCOSA",NA,0.0415592429508314,0.134073424840653,0.237238452664833,0.265166544928315,0.142504259860109,0.0849876990997407,0.0996288679856362,0.214300007735919,0.18090068715561,0.236762936321103,0.115007481701623,0.158591386905068
"BREVIPETALA",0.0415592429508314,NA,0.090256180067289,0.185404702422433,0.215863596964102,0.138258141796148,0.093951456527711,0.101688805738338,0.200310925388756,0.164878911175919,0.21359560168928,0.118090231264517,0.154399836698393
"HIRSUTICAULIS",0.134073424840653,0.090256180067289,NA,0.058673954720894,0.0925561955379554,0.205350918382806,0.190386167281438,0.184312997819626,0.255349860620035,0.231081443519283,0.265449243680399,0.212933218261307,0.231433932280705
"GRAYANA",0.237238452664833,0.185404702422433,0.058673954720894,NA,0.0638650534542579,0.31023411759783,0.294134577181568,0.273507150567601,0.354364133424267,0.325358414541728,0.360961772545794,0.31408003774236,0.337010320234561
"RICHARDSONII",0.265166544928315,0.215863596964102,0.0925561955379554,0.0638650534542579,NA,0.340270664425583,0.320049814670167,0.293141936962283,0.377208789614003,0.343469842491093,0.380189822061148,0.336328303613426,0.365345426802095
"CAROLINIANA",0.142504259860109,0.138258141796148,0.205350918382806,0.31023411759783,0.340270664425583,NA,0.166435487558654,0.0927459086804085,0.226962240334624,0.192859705301904,0.299218531474499,0.19951337079771,0.215422655567439
"HETERADENIA",0.0849876990997407,0.093951456527711,0.190386167281438,0.294134577181568,0.320049814670167,0.166435487558654,NA,0.0786470512820028,0.186898293525602,0.148963597735161,0.238788704643104,0.0796560089981724,0.121282356517053
"AMERICANA",0.0996288679856362,0.101688805738338,0.184312997819626,0.273507150567601,0.293141936962283,0.0927459086804085,0.0786470512820028,NA,0.0780991208858852,0.0606800890453685,0.151308749555786,0.0717725469690271,0.0553696187973947
"PUBESCENS",0.214300007735919,0.200310925388756,0.255349860620035,0.354364133424267,0.377208789614003,0.226962240334624,0.186898293525602,0.0780991208858852,NA,0.0472915854870729,0.181587105568343,0.166716838908581,0.16391898247733
"HISPIDA",0.18090068715561,0.164878911175919,0.231081443519283,0.325358414541728,0.343469842491093,0.192859705301904,0.148963597735161,0.0606800890453685,0.0472915854870729,NA,0.0943949317796667,0.109874901381648,0.121500889157625
"ALBA",0.236762936321103,0.21359560168928,0.265449243680399,0.360961772545794,0.380189822061148,0.299218531474499,0.238788704643104,0.151308749555786,0.181587105568343,0.0943949317796667,NA,0.210411866173631,0.274454659957888
"LONGIFLORA",0.115007481701623,0.118090231264517,0.212933218261307,0.31408003774236,0.336328303613426,0.19951337079771,0.0796560089981724,0.0717725469690271,0.166716838908581,0.109874901381648,0.210411866173631,NA,0.0997792301115046
"ACEROIDES",0.158591386905068,0.154399836698393,0.231433932280705,0.337010320234561,0.365345426802095,0.215422655567439,0.121282356517053,0.0553696187973947,0.16391898247733,0.121500889157625,0.274454659957888,0.0997792301115046,NA
